               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.093358,            0.059818,            0.026723,              0.1652,             0.26065,             0.13547,            0.026375,            0.089642,            0.062492,            0.025081,            0.007723,            0.007723,            0.007723
                  71,            0.090879,            0.053525,            0.026251,            0.095665,             0.15581,            0.097758,            0.024691,            0.092742,            0.074029,            0.024648,             0.00769,             0.00769,             0.00769
                  72,            0.092612,            0.067225,            0.026349,            0.095665,             0.15581,            0.097758,            0.024691,            0.092742,            0.074001,            0.024648,            0.007657,            0.007657,            0.007657
                  73,             0.09154,            0.073427,            0.026808,             0.28105,             0.19946,             0.11697,            0.030413,            0.092867,            0.060544,            0.024805,            0.007624,            0.007624,            0.007624
                  74,            0.088961,            0.064385,            0.026521,             0.16092,             0.11779,            0.098904,            0.032144,            0.091735,             0.12396,            0.024683,            0.007591,            0.007591,            0.007591
                  75,            0.088411,            0.056438,            0.026056,              0.1487,             0.24645,             0.10269,             0.03276,            0.098082,             0.13352,            0.024847,            0.007558,            0.007558,            0.007558
                  76,            0.095533,            0.062222,            0.025645,              0.1487,             0.24645,             0.10269,             0.03276,            0.098082,             0.13354,            0.024847,            0.007525,            0.007525,            0.007525
                  77,            0.092541,            0.059328,             0.02578,             0.27285,             0.14954,             0.13026,            0.048122,            0.096293,              0.1014,             0.02466,            0.007492,            0.007492,            0.007492
                  78,            0.093362,            0.057466,            0.025997,             0.11271,              0.2005,             0.12448,            0.039166,            0.089909,            0.052372,            0.024656,            0.007459,            0.007459,            0.007459
                  79,            0.092076,            0.051562,            0.024513,            0.089933,             0.32414,             0.11709,            0.048341,            0.094369,            0.061599,            0.024443,            0.007426,            0.007426,            0.007426
                  80,             0.09599,            0.058058,            0.025922,            0.089933,             0.32414,             0.11709,            0.048341,            0.094369,            0.061579,            0.024443,            0.007393,            0.007393,            0.007393
                  81,            0.095284,            0.060995,             0.02551,             0.14013,             0.34795,             0.13235,            0.042979,            0.094763,            0.057211,            0.024173,             0.00736,             0.00736,             0.00736
                  82,             0.09383,            0.052019,            0.025227,              0.1246,             0.35631,             0.13493,            0.051784,            0.093286,            0.046548,            0.023607,            0.007327,            0.007327,            0.007327
                  83,            0.092318,            0.057294,            0.025141,             0.12673,             0.35004,             0.13522,            0.050999,            0.093153,            0.043396,            0.024328,            0.007294,            0.007294,            0.007294
                  84,            0.092055,            0.057209,            0.025723,             0.12673,             0.35004,             0.13522,            0.050999,            0.093153,            0.043413,            0.024328,            0.007261,            0.007261,            0.007261
                  85,            0.091036,             0.06378,            0.024984,             0.15568,             0.40393,             0.13806,            0.051963,            0.093318,            0.046971,            0.024222,            0.007228,            0.007228,            0.007228
                  86,            0.090751,            0.058023,             0.02514,             0.13412,             0.32749,             0.13189,             0.05006,            0.090395,            0.043282,            0.024695,            0.007195,            0.007195,            0.007195
                  87,            0.088139,            0.062148,            0.024385,              0.1367,             0.45948,             0.18061,            0.074108,            0.089629,             0.05633,            0.024423,            0.007162,            0.007162,            0.007162
                  88,            0.087762,            0.061159,             0.02462,              0.1367,             0.45948,             0.18061,            0.074108,            0.089629,            0.056261,            0.024423,            0.007129,            0.007129,            0.007129
                  89,            0.086474,            0.058742,            0.025114,             0.66198,             0.21805,             0.21831,            0.084509,            0.087864,            0.053248,             0.02412,            0.007096,            0.007096,            0.007096
                  90,            0.087613,             0.05137,            0.024196,             0.30253,             0.45656,             0.32449,             0.14183,            0.084045,            0.043803,            0.022509,            0.007063,            0.007063,            0.007063
                  91,             0.08793,             0.05672,            0.024908,             0.64987,             0.28803,             0.33002,            0.093166,            0.089891,            0.048678,            0.022316,             0.00703,             0.00703,             0.00703
                  92,            0.087683,            0.059117,            0.023788,             0.64987,             0.28803,             0.33002,            0.093166,            0.089891,            0.048693,            0.022316,            0.006997,            0.006997,            0.006997
                  93,            0.086643,            0.065725,            0.024187,             0.77198,             0.26531,             0.34037,             0.11677,             0.08864,            0.044988,            0.022505,            0.006964,            0.006964,            0.006964
                  94,            0.085025,            0.049947,            0.023863,             0.27788,             0.40004,             0.30071,             0.11286,            0.084089,            0.039154,            0.023004,            0.006931,            0.006931,            0.006931
                  95,             0.08545,            0.059435,            0.024242,             0.61723,             0.34631,             0.32531,             0.12436,            0.083923,            0.041746,              0.0223,            0.006898,            0.006898,            0.006898
                  96,            0.087074,             0.05908,            0.026174,             0.61723,             0.34631,             0.32531,             0.12436,            0.083923,            0.041732,              0.0223,            0.006865,            0.006865,            0.006865
                  97,            0.085113,            0.059107,            0.024052,             0.69874,             0.25815,             0.36132,             0.13119,            0.083955,            0.046781,            0.022132,            0.006832,            0.006832,            0.006832
                  98,            0.083688,            0.057227,            0.023518,             0.62202,             0.37093,             0.30596,             0.10713,            0.083557,            0.043803,            0.022128,            0.006799,            0.006799,            0.006799
                  99,            0.081798,            0.050101,            0.023052,             0.58078,               0.401,             0.32736,             0.13457,            0.083602,            0.043886,            0.021267,            0.006766,            0.006766,            0.006766
                 100,            0.087683,            0.060915,            0.023787,             0.58078,               0.401,             0.32736,             0.13457,            0.083602,            0.043894,            0.021267,            0.006733,            0.006733,            0.006733
                 101,            0.084485,            0.065054,            0.023521,             0.66004,             0.29449,             0.37525,             0.17942,            0.081041,            0.043587,            0.021264,              0.0067,              0.0067,              0.0067
                 102,            0.082782,            0.055676,            0.023041,             0.57194,             0.39474,             0.31623,             0.11566,            0.083172,            0.042398,            0.021463,            0.006667,            0.006667,            0.006667
                 103,            0.084829,            0.061371,            0.023828,             0.57612,             0.30075,             0.26156,            0.096045,            0.080769,            0.038469,            0.022475,            0.006634,            0.006634,            0.006634
                 104,            0.085056,             0.06006,            0.024231,             0.57612,             0.30075,             0.26156,            0.096045,            0.080769,            0.038448,            0.022475,            0.006601,            0.006601,            0.006601
                 105,            0.084944,            0.058253,            0.024179,             0.51642,             0.22932,             0.24241,            0.096096,            0.080397,            0.039464,            0.022341,            0.006568,            0.006568,            0.006568
